preco_maximo,preco_minimo,variacao_bid,variacao_pct,preco_compra,preco_venda,data_hora,moeda,data_ingestao,origem_arquivo
15834.3,15462.3,109.15,0.7,15630.7,15666.8,20/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
15655.1,15180.3,294.4,1.93,15523.4,15555.5,19/02/2025 23:58,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
15871.4,14915.1,-556.9,-3.52,15232.3,15264.6,18/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
16313.8,15173.4,503.3,3.29,15786.2,15819.3,17/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
15628.4,15272.5,-148.9,-0.96,15294.8,15328.0,16/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
15621.3,15325.5,-90.15,-0.58,15461.4,15496.8,15/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
15957.6,15389.5,146.47,0.95,15553.7,15588.1,14/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
15897.8,15111.4,-365.18,-2.31,15408.3,15439.4,13/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
16092.8,14709.7,764.95,5.09,15763.3,15798.3,12/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
15755.7,14835.4,-413.27,-2.68,15004.7,15038.7,11/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
15624.1,15005.7,41.3,0.27,15422.9,15449.2,10/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
15770.0,14827.9,-27.47,-0.18,15393.7,15406.1,09/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
15576.3,15192.2,75.3,0.49,15391.1,15438.7,08/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
16177.3,15000.4,-227.23,-1.46,15304.6,15337.7,07/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
16640.9,15429.9,-646.48,-3.99,15522.9,15580.9,06/02/2025 23:58,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
16455.8,15633.7,391.67,2.47,16217.5,16222.7,05/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
16809.8,15245.3,-928.95,-5.54,15808.0,15850.9,04/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
16995.6,12821.5,-193.99,-1.14,16745.8,16782.8,03/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
18638.9,16311.8,-1431.7,-7.79,16922.2,16961.5,02/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
19521.5,18275.9,-916.43,-4.75,18360.8,18402.3,01/02/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
20088.4,18813.3,289.59,1.52,19288.9,19333.3,31/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
19375.0,18000.0,885.79,4.89,19000.0,19029.2,30/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
18634.1,18000.0,27.76,0.15,18103.5,18140.5,29/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
19079.8,17910.9,-735.81,-3.91,18070.0,18108.1,28/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
19415.5,18038.0,-458.83,-2.38,18787.8,18827.1,27/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
19889.3,19255.3,-367.32,-1.87,19260.9,19303.2,26/01/2025 23:58,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
19914.1,19351.8,44.89,0.23,19631.9,19669.4,25/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
20276.7,19406.0,-200.06,-1.01,19594.5,19633.3,24/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
19868.9,19006.8,461.58,2.38,19803.7,19851.8,23/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
20326.6,19295.0,-774.15,-3.85,19328.8,19375.8,22/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
20333.3,19464.8,263.2,1.33,20096.3,20154.9,21/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
20932.1,19326.9,104.23,0.53,19832.0,19884.7,20/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
21129.8,19188.6,-502.18,-2.48,19704.4,19752.8,19/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
21201.9,19652.2,-835.74,-3.97,20203.6,20244.4,18/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
21393.3,19868.4,1176.95,5.92,21039.0,21084.9,17/01/2025 23:57,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
20760.2,19703.3,-768.09,-3.72,19865.4,19907.8,16/01/2025 23:58,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
20968.3,19303.3,1100.05,5.62,20655.2,20701.0,15/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
19775.9,19056.0,388.46,2.03,19519.5,19563.1,14/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
20350.0,18058.0,-817.3,-4.09,19124.5,19169.2,13/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
20248.2,19771.4,-216.81,-1.07,19949.2,19990.9,12/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
20383.8,19775.5,124.87,0.62,20162.7,20202.7,11/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
20286.2,19538.7,503.41,2.57,20046.2,20087.9,10/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
20660.8,19157.7,-894.47,-4.37,19546.2,19590.7,09/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
21028.9,19800.0,-307.75,-1.48,20450.1,20486.6,08/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
22601.5,20630.6,-1708.98,-7.6,20750.9,20793.0,07/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
22925.2,22205.4,-110.78,-0.49,22462.4,22482.1,06/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
22766.0,22312.8,-104.58,-0.46,22561.8,22606.7,05/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
22766.0,22112.8,354.42,1.59,22663.2,22710.3,04/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
22500.0,21163.7,981.46,4.6,22308.0,22352.3,03/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
21834.2,20868.4,437.7,2.09,21325.9,21376.4,02/01/2025 23:59,ETH-BRL,2025-06-08 15:08:03,silver_cripto_180d.csv
