code,codein,name,high,low,varBid,pctChange,bid,ask,timestamp,create_date,moeda
,,,491,475.5,3,0.627,480.8,481.1,1743551944,,LTC
,,,499.9,469.3,-23.3,-4.661,475.8,476.4,1743465537,,LTC
,,,504.4,492.8,3,0.604,499.7,500.2,1743379156,,LTC
,,,510.7,490,-11.1,-2.187,496.1,496.3,1743292763,,LTC
,,,537.4,496.2,-27.2,-5.094,505.7,506.5,1743206349,,LTC
,,,545,530.3,4,0.751,534.1,534.3,1743119956,,LTC
,,,551.3,523.2,-7.3,-1.353,531.6,532.4,1743033530,,LTC
,,,552.1,527.2,8.3,1.574,534.6,534.9,1742871916,,LTC
,,,552.1,521.9,15.6,2.97,540.7,541.9,1742860778,,LTC
,,,536.2,523,-1,-0.19,526,526.2,1742774378,,LTC
,,,532,521.6,3.1,0.593,526.6,527.4,1742687994,,LTC
,,,537.9,519.5,-6.9,-1.301,523.1,523.8,1742601573,,LTC
,,,534.6,512.3,-2.6,-0.488,530.4,531,1742515159,,LTC
,,,533.5,509.7,20.5,3.998,532.3,533.4,1742428771,,LTC
,,,526.9,498,-13,-2.467,513.2,513.3,1742342390,,LTC
,,,545,522.5,4,0.766,525.9,526.9,1742255978,,LTC
,,,536.1,513,-10.9,-2.042,522.4,522.7,1742169553,,LTC
,,,544.7,526.5,6.4,1.212,533.9,534.7,1742083192,,LTC
,,,533.8,510.8,15.8,3.086,527.2,528.5,1741996794,,LTC
,,,534,502,-22.2,-4.157,511.6,512.5,1741910370,,LTC
,,,543,510.8,2.4,0.453,532,532.8,1741823961,,LTC
,,,544.8,491.8,10.4,2.012,527.4,528.2,1741737587,,LTC
,,,579,509.4,-42.6,-7.666,514,514.9,1741651176,,LTC
,,,598.9,549.7,-43.1,-7.21,552.7,554.2,1741564774,,LTC
,,,633.8,595,-5.7,-0.944,596.9,597.8,1741478365,,LTC
,,,619.4,567.5,5.2,0.867,604.2,604.8,1741391985,,LTC
,,,651.4,590.7,-6.3,-1.04,599,599.7,1741305580,,LTC
,,,625.6,592,-4.4,-0.721,605,607.1,1741219176,,LTC
,,,657.6,560,-38.3,-5.887,609.8,610.8,1741132786,,LTC
,,,770.9,635,-106.1,-13.972,652.2,653.1,1741046377,,LTC
,,,769.9,698.9,19,2.582,756.3,757.9,1740959994,,LTC
,,,776,731.2,-21.9,-2.888,735.4,736.3,1740873557,,LTC
,,,767.2,672.2,14.2,1.909,757.7,758.9,1740787180,,LTC
,,,769.1,710,12.1,1.658,742.2,743.2,1740700789,,LTC
,,,750,659.3,66.3,10.006,727.3,728.2,1740614355,,LTC
,,,681,616.6,-5.2,-0.775,661.5,663.3,1740527961,,LTC
,,,750.3,651.2,-80.9,-10.844,663.9,665.1,1740441566,,LTC
,,,750,722.13,24.65,3.4,745.64,746.69,1740355142,,LTC
,,,753.84,723.89,-6.85,-0.94,723.75,725.82,1740268764,,LTC
